T,seed,accuracy,synops,energy_nj
1.0,42,80.25,679968.89,611.972
1.0,123,81.44,922655.95,830.3904
1.0,7,80.33,723676.63,651.309
2.0,42,84.55,1964111.77,1767.7006
2.0,123,84.84,2406410.07,2165.7691
2.0,7,85.15,2432418.96,2189.1771
4.0,42,88.43,3537018.3,3183.3165
4.0,123,88.37,4103739.82,3693.3658
4.0,7,88.1,3611978.55,3250.7807
8.0,42,89.66,3891997.37,3502.7976
8.0,123,89.85,4559785.09,4103.8066
8.0,7,89.57,4581867.02,4123.6803
16.0,42,89.16,6134111.55,5520.7004
16.0,123,89.79,7763186.86,6986.8682
16.0,7,89.66,7228257.5,6505.4317
32.0,42,89.64,13247413.55,11922.6722
32.0,123,90.08,13351498.56,12016.3487
32.0,7,89.6,14643115.7,13178.8041
64.0,42,89.8,23101014.97,20790.9135
64.0,123,89.97,26223910.17,23601.5192
64.0,7,89.22,24770393.23,22293.3539
,42,93.11,4643840.0,21361.664
,123,92.93,4643840.0,21361.664
,7,92.87,4643840.0,21361.664
